,y_true,preds,dates
694,168,156.8489853205962,2018-01-07
695,205,200.66611562991218,2018-01-14
696,168,203.55798886441616,2018-01-21
697,224,159.83696804935042,2018-01-28
698,237,243.45504603966427,2018-02-04
699,220,291.93628662186103,2018-02-11
700,193,240.83051128373364,2018-02-18
701,148,168.8969571877044,2018-02-25
702,181,124.87666429755615,2018-03-04
703,166,188.86862179974509,2018-03-11
704,185,219.8099279829451,2018-03-18
705,217,224.18084964466107,2018-03-25
706,167,185.88729780120713,2018-04-01
707,179,116.56128256113624,2018-04-08
708,191,160.55581018451014,2018-04-15
709,147,255.84974719443483,2018-04-22
710,219,167.28584351825356,2018-04-29
711,178,220.6370130028826,2018-05-06
712,183,156.62566276697703,2018-05-13
713,227,185.03903390062266,2018-05-20
714,150,276.8273097108788,2018-05-27
715,131,183.17297164289897,2018-06-03
716,223,95.86665919322405,2018-06-10
717,200,138.86184742199256,2018-06-17
718,200,244.633914041126,2018-06-24
719,159,296.61118699536166,2018-07-01
720,142,207.19461512157966,2018-07-08
721,79,97.7038198592865,2018-07-15
722,160,31.645975664970734,2018-07-22
723,171,149.77938165670955,2018-07-29
724,205,269.44338881486976,2018-08-05
725,206,243.48617952413656,2018-08-12
