,y_true,preds,dates
3731,114,70.39600859334368,2018-01-07
3732,147,130.8086940967005,2018-01-14
3733,157,177.4784203866027,2018-01-21
3734,172,178.64645392795597,2018-01-28
3735,141,171.15358648156996,2018-02-04
3736,151,139.555641728343,2018-02-11
3737,174,139.99003881658342,2018-02-18
3738,171,175.67370150950336,2018-02-25
3739,207,166.17921888212092,2018-03-04
3740,184,215.8689636416201,2018-03-11
3741,144,202.13981828715538,2018-03-18
3742,142,141.3244395380176,2018-03-25
3743,134,117.8377731422255,2018-04-01
3744,155,120.4012489714835,2018-04-08
3745,159,158.12065838270252,2018-04-15
3746,109,185.70016151637162,2018-04-22
3747,236,126.94982236148402,2018-04-29
3748,227,220.16353015247023,2018-05-06
3749,269,239.9273251595809,2018-05-13
3750,171,283.47109801647696,2018-05-20
3751,110,183.34937342250046,2018-05-27
3752,113,80.05317251801942,2018-06-03
3753,196,70.7484814947961,2018-06-10
3754,227,209.46455631805475,2018-06-17
3755,231,270.0150968024402,2018-06-24
3756,197,246.1121283040128,2018-07-01
3757,189,184.29500858232538,2018-07-08
3758,140,172.9584874221001,2018-07-15
3759,219,138.69923438208446,2018-07-22
3760,191,222.841638185954,2018-07-29
3761,243,222.56904670003425,2018-08-05
3762,277,235.5071332584564,2018-08-12
