,y_true,preds,dates
4237,61,47.4556515180512,2018-01-07
4238,84,60.3640193256881,2018-01-14
4239,88,90.70107692283233,2018-01-21
4240,105,105.91324040791513,2018-01-28
4241,86,116.28012898806787,2018-02-04
4242,84,100.58987922531468,2018-02-11
4243,111,66.53388672626451,2018-02-18
4244,117,117.76265044310102,2018-02-25
4245,117,153.31632264355446,2018-03-04
4246,107,159.80704281514642,2018-03-11
4247,91,107.50367379003612,2018-03-18
4248,122,55.95142776808602,2018-03-25
4249,75,93.008293347077,2018-04-01
4250,90,85.46617550975901,2018-04-08
4251,115,91.64583228612851,2018-04-15
4252,95,148.69166182986228,2018-04-22
4253,169,119.7110652706674,2018-04-29
4254,120,151.4819809037983,2018-05-06
4255,195,156.9513495587944,2018-05-13
4256,185,218.59684629044972,2018-05-20
4257,87,175.6505212856207,2018-05-27
4258,135,77.00862008329798,2018-06-03
4259,173,107.99517124749804,2018-06-10
4260,129,207.89307352952562,2018-06-17
4261,120,162.4116209364334,2018-06-24
4262,153,83.8063894424986,2018-07-01
4263,122,97.40868946241352,2018-07-08
4264,65,130.26101861483545,2018-07-15
4265,118,94.11372528484162,2018-07-22
4266,176,141.09041711280895,2018-07-29
4267,227,178.5093054702951,2018-08-05
4268,194,225.5539087430592,2018-08-12
