,y_true,preds,dates
5797,68,67.08782155298285,2018-01-07
5798,85,90.2429880437273,2018-01-14
5799,90,107.09661343901696,2018-01-21
5800,92,114.87645092591156,2018-01-28
5801,97,98.95283306142328,2018-02-04
5802,98,79.17287817137185,2018-02-11
5803,96,75.49908404797901,2018-02-18
5804,102,85.4445122178428,2018-02-25
5805,74,96.57975127889853,2018-03-04
5806,73,64.91740784397558,2018-03-11
5807,79,44.55975513611135,2018-03-18
5808,89,52.868725855411775,2018-03-25
5809,80,14.515339854526399,2018-04-01
5810,62,17.812372830789414,2018-04-08
5811,74,30.74803630867525,2018-04-15
5812,65,68.20692791719932,2018-04-22
5813,93,46.83398805657764,2018-04-29
5814,51,42.91655360313868,2018-05-06
5815,87,-4.820570873859374,2018-05-13
5816,62,26.45049833609255,2018-05-20
5817,42,-5.249011640510297,2018-05-27
5818,41,-48.92108211964684,2018-06-03
5819,41,-65.16945005630328,2018-06-10
5820,64,-59.86100940866265,2018-06-17
5821,65,-15.180533630549167,2018-06-24
5822,43,42.781427452712364,2018-07-01
5823,33,1.7416250301000815,2018-07-08
5824,27,-21.691800080563887,2018-07-15
5825,58,-43.495758141841705,2018-07-22
5826,67,-13.98797200105178,2018-07-29
5827,112,-4.626653451020246,2018-08-05
5828,111,83.69949241526092,2018-08-12
