,y_true,preds,dates
5997,73,57.49552609466811,2018-01-07
5998,76,66.98079101390174,2018-01-14
5999,74,77.34432487566917,2018-01-21
6000,106,81.92758345670168,2018-01-28
6001,108,112.93390665848455,2018-02-04
6002,79,112.70433365019836,2018-02-11
6003,68,76.96376404589665,2018-02-18
6004,96,68.04143765054981,2018-02-25
6005,106,103.28849282354308,2018-03-04
6006,109,124.11425134646544,2018-03-11
6007,113,117.33447087002237,2018-03-18
6008,105,99.47679826441117,2018-03-25
6009,80,104.78318887429836,2018-04-01
6010,107,79.15391612075516,2018-04-08
6011,81,104.96678975103224,2018-04-15
6012,79,98.81672879054868,2018-04-22
6013,223,72.73436846287579,2018-04-29
6014,199,226.8387644819266,2018-05-06
6015,240,243.81662645859603,2018-05-13
6016,128,243.81632037053228,2018-05-20
6017,61,114.89745370306034,2018-05-27
6018,89,22.10420258426762,2018-06-03
6019,93,79.15659355996675,2018-06-10
6020,140,106.66507860334718,2018-06-17
6021,125,163.43165622579315,2018-06-24
6022,113,122.93599970140198,2018-07-01
6023,86,98.54928391145012,2018-07-08
6024,134,87.29304297762114,2018-07-15
6025,125,158.55844701196276,2018-07-22
6026,145,159.88241319838082,2018-07-29
6027,150,136.73736800937417,2018-08-05
6028,133,116.9192085589803,2018-08-12
