,y_true,nd_preds,lt_preds,dates
0,168,192.31561090456483,192.31561090456483,2018-01-07
1,205,192.31561090456483,191.70325132098878,2018-01-14
2,168,188.7940300738465,204.46255250356256,2018-01-21
3,224,198.04100963182955,203.21286580871129,2018-01-28
4,237,206.899203939126,206.899203939126,2018-02-04
5,220,206.899203939126,203.44226693430426,2018-02-11
6,193,213.67187734978276,210.56843757453868,2018-02-18
7,148,218.73147519840293,212.9156578397562,2018-02-25
8,181,188.76705423428598,188.76705423428598,2018-03-04
9,166,188.76705423428598,201.47847520837513,2018-03-11
10,185,197.45418491343304,212.346714302296,2018-03-18
11,217,195.60572467216636,214.32270597014121,2018-03-25
12,167,214.2424583451734,214.2424583451734,2018-04-01
13,179,214.2424583451734,210.050574251558,2018-04-08
14,191,191.4658448506971,219.1276883772532,2018-04-15
15,147,203.41235017328577,221.77075721868272,2018-04-22
16,219,182.81734783499377,182.81734783499377,2018-04-29
17,178,182.81734783499377,194.41634029873174,2018-05-06
18,183,209.84359647573336,213.46085831222143,2018-05-13
19,227,197.01268710930867,210.5848636982539,2018-05-20
20,150,220.6456912668587,220.6456912668587,2018-05-27
21,131,220.6456912668587,208.61363615310094,2018-06-03
22,223,180.54921507273997,220.76043334404167,2018-06-10
23,200,175.18994277998982,218.8668803350293,2018-06-17
24,200,204.40723440840833,204.40723440840833,2018-06-24
25,159,204.40723440840833,198.36971009397615,2018-07-01
26,142,195.97752749929862,215.21317164706363,2018-07-08
27,79,190.31682359118204,214.4498347756135,2018-07-15
28,160,145.68364972015044,145.68364972015044,2018-07-22
29,171,145.68364972015044,157.93424180270395,2018-07-29
30,205,165.5731302402317,178.60419017901484,2018-08-05
31,206,174.22888972832953,177.23752503762756,2018-08-12
