dates,y_true,nd_preds,lt_preds
2018-01-07,114,71.64517234013977,71.64517234013977
2018-01-14,147,71.64517234013977,68.95893843614824
2018-01-21,157,124.01055231860524,78.57385530623205
2018-01-28,172,123.43238637134347,70.27377797549273
2018-02-04,141,148.3826442195485,148.3826442195485
2018-02-11,151,148.3826442195485,129.46324760243695
2018-02-18,174,131.92887125312654,149.72120370452305
2018-02-25,171,126.08146807436924,123.4292290904549
2018-03-04,207,164.24076638831474,164.24076638831474
2018-03-11,184,164.24076638831474,156.75096928522805
2018-03-18,144,207.32996823976003,168.958510945481
2018-03-25,142,168.7583836939298,156.03162015048412
2018-04-01,134,135.7880708329251,135.7880708329251
2018-04-08,155,135.7880708329251,148.70283798377378
2018-04-15,159,151.91422855787687,168.83195522866384
2018-04-22,109,147.5700001039209,163.03575635051772
2018-04-29,236,124.01086261989914,124.01086261989914
2018-05-06,227,124.01086261989914,117.65992518586896
2018-05-13,269,198.06464706444032,125.63075873206577
2018-05-20,171,212.96865247539557,127.9912331375809
2018-05-27,110,170.04174402007675,170.04174402007675
2018-06-03,113,170.04174402007675,178.50419716169495
2018-06-10,196,150.22464509327148,181.30297502407146
2018-06-17,227,158.44202027074624,183.6338111499479
2018-06-24,231,249.07520866461485,249.07520866461485
2018-07-01,197,249.07520866461485,235.855026220689
2018-07-08,189,227.39564822281343,225.02006832109157
2018-07-15,140,173.64681693450328,185.5560769718233
2018-07-22,219,175.66549303508475,175.66549303508475
2018-07-29,191,175.66549303508475,192.58362735359682
2018-08-05,243,213.04164308876912,227.81358352958557
2018-08-12,277,204.672285469696,219.1978052677414
