dates,y_true,nd_preds,lt_preds
2018-01-07,73,68.00391940479557,68.00391940479557
2018-01-14,76,68.00391940479557,71.7731291260953
2018-01-21,74,75.45960591938054,76.00374097119754
2018-01-28,106,69.00239957386054,68.28186178381662
2018-02-04,108,106.87579801502426,106.87579801502426
2018-02-11,79,106.87579801502426,110.96890733525095
2018-02-18,68,111.78388194122743,117.15775886800391
2018-02-25,96,75.7631794695684,101.1630611407431
2018-03-04,106,88.4137547339858,88.4137547339858
2018-03-11,109,88.4137547339858,96.27072004709784
2018-03-18,113,105.4303413551534,103.0908525582886
2018-03-25,105,100.82101621769544,92.60045771646986
2018-04-01,80,111.71401031201805,111.71401031201805
2018-04-08,107,111.71401031201805,114.16676013185285
2018-04-15,81,94.4112192150497,117.74558340160105
2018-04-22,79,104.90646995243651,114.60957653312242
2018-04-29,223,91.39589747290394,91.39589747290394
2018-05-06,199,91.39589747290394,98.30530569436621
2018-05-13,240,162.28781468381524,102.63795893640236
2018-05-20,128,171.70025507911177,99.36799668031823
2018-05-27,61,142.5296935719015,142.5296935719015
2018-06-03,89,142.5296935719015,144.70302976269318
2018-06-10,93,100.14131333743839,149.53705491017013
2018-06-17,140,96.03057737925064,137.6970050448113
2018-06-24,125,143.5044795252834,143.5044795252834
2018-07-01,113,143.5044795252834,145.7188673764024
2018-07-08,86,135.32442062631836,147.51576067873134
2018-07-15,134,118.27370829879416,139.10771707841712
2018-07-22,125,143.71820154857826,143.71820154857826
2018-07-29,145,143.71820154857826,150.94041683246184
2018-08-05,150,140.39928893348832,158.72200345465774
2018-08-12,133,127.72856623597856,137.01474949672564
