dates,y_true,preds
2018-01-07,168,137
2018-01-14,205,112
2018-01-21,168,137
2018-01-28,224,112
2018-02-04,237,94
2018-02-11,220,224
2018-02-18,193,168
2018-02-25,148,168
2018-03-04,181,168
2018-03-11,166,168
2018-03-18,185,168
2018-03-25,217,168
2018-04-01,167,185
2018-04-08,179,185
2018-04-15,191,185
2018-04-22,147,185
2018-04-29,219,191
2018-05-06,178,147
2018-05-13,183,179
2018-05-20,227,147
2018-05-27,150,185
2018-06-03,131,178
2018-06-10,223,178
2018-06-17,200,178
2018-06-24,200,168
2018-07-01,159,150
2018-07-08,142,178
2018-07-15,79,131
2018-07-22,160,200
2018-07-29,171,200
2018-08-05,205,168
2018-08-12,206,150
