dates,y_true,preds
2018-01-07,147,63
2018-01-14,155,111
2018-01-21,172,72
2018-01-28,132,63
2018-02-04,85,65
2018-02-11,73,132
2018-02-18,126,103
2018-02-25,131,132
2018-03-04,151,131
2018-03-11,161,103
2018-03-18,118,103
2018-03-25,140,103
2018-04-01,133,103
2018-04-08,143,118
2018-04-15,130,161
2018-04-22,121,151
2018-04-29,193,121
2018-05-06,135,118
2018-05-13,203,151
2018-05-20,171,151
2018-05-27,89,143
2018-06-03,87,151
2018-06-10,74,151
2018-06-17,97,151
2018-06-24,88,74
2018-07-01,127,74
2018-07-08,96,74
2018-07-15,41,74
2018-07-22,115,74
2018-07-29,130,88
2018-08-05,163,96
2018-08-12,143,96
