dates,y_true,preds
2018-01-07,61,61
2018-01-14,84,91
2018-01-21,88,64
2018-01-28,105,91
2018-02-04,86,61
2018-02-11,84,88
2018-02-18,111,83
2018-02-25,117,83
2018-03-04,117,61
2018-03-11,107,83
2018-03-18,91,83
2018-03-25,122,83
2018-04-01,75,83
2018-04-08,90,83
2018-04-15,115,83
2018-04-22,95,117
2018-04-29,169,117
2018-05-06,120,95
2018-05-13,195,91
2018-05-20,185,117
2018-05-27,87,75
2018-06-03,135,117
2018-06-10,173,84
2018-06-17,129,75
2018-06-24,120,117
2018-07-01,153,75
2018-07-08,122,75
2018-07-15,65,117
2018-07-22,118,122
2018-07-29,176,117
2018-08-05,227,117
2018-08-12,194,117
