dates,y_true,preds
2018-01-07,93,21
2018-01-14,161,194
2018-01-21,150,104
2018-01-28,157,90
2018-02-04,183,90
2018-02-11,172,104
2018-02-18,153,157
2018-02-25,170,90
2018-03-04,193,143
2018-03-11,193,90
2018-03-18,192,90
2018-03-25,174,90
2018-04-01,148,193
2018-04-08,164,193
2018-04-15,142,193
2018-04-22,100,193
2018-04-29,170,164
2018-05-06,123,164
2018-05-13,156,193
2018-05-20,139,193
2018-05-27,65,170
2018-06-03,83,170
2018-06-10,75,170
2018-06-17,131,170
2018-06-24,112,193
2018-07-01,105,102
2018-07-08,120,131
2018-07-15,67,174
2018-07-22,94,131
2018-07-29,142,131
2018-08-05,152,193
2018-08-12,130,193
