dates,y_true,preds
2018-01-07,68,56
2018-01-14,85,56
2018-01-21,90,0
2018-01-28,92,0
2018-02-04,97,92
2018-02-11,98,31
2018-02-18,96,92
2018-02-25,102,56
2018-03-04,74,102
2018-03-11,73,96
2018-03-18,79,96
2018-03-25,89,56
2018-04-01,80,31
2018-04-08,62,73
2018-04-15,74,74
2018-04-22,65,89
2018-04-29,93,65
2018-05-06,51,89
2018-05-13,87,74
2018-05-20,62,74
2018-05-27,42,74
2018-06-03,41,74
2018-06-10,41,87
2018-06-17,64,74
2018-06-24,65,62
2018-07-01,43,62
2018-07-08,33,62
2018-07-15,27,41
2018-07-22,58,41
2018-07-29,67,41
2018-08-05,112,41
2018-08-12,111,51
