dates,y_true,preds
2018-01-07,73,59
2018-01-14,76,52
2018-01-21,74,103
2018-01-28,106,52
2018-02-04,108,73
2018-02-11,79,52
2018-02-18,68,73
2018-02-25,96,73
2018-03-04,106,68
2018-03-11,109,108
2018-03-18,113,108
2018-03-25,105,68
2018-04-01,80,106
2018-04-08,107,113
2018-04-15,81,106
2018-04-22,79,106
2018-04-29,223,113
2018-05-06,199,106
2018-05-13,240,106
2018-05-20,128,79
2018-05-27,61,79
2018-06-03,89,79
2018-06-10,93,106
2018-06-17,140,128
2018-06-24,125,79
2018-07-01,113,61
2018-07-08,86,140
2018-07-15,134,79
2018-07-22,125,79
2018-07-29,145,79
2018-08-05,150,79
2018-08-12,133,113
